Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6",0402,4,2.2u,
"C10, C13, C15, C16",0603,4,22u,
"C11, C14",0402,2,100n,
"C12, C18, C19, C20, C21, C3, C4, C8",0402,8,10u,
C17,0402,1,1u,
C7,0402,1,220p,
C9,0603,1,10u,
"D1, D2",D_SOD-923,2,ESD9B5.0ST5G,
D3,D_SOD-323,1,1N5819WS,
D4,0603,1,RED,
D5,SOT-323_SC-70,1,BAT54CW,
D6,0603,1,BLUE,
F1,1210,1,PPTC 5V 3A,
FB1,1210,1,5V 3A 100MHz,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_USB2.0_16P,
"J2_2, J5",PinHeader_1x10_P2.54mm_Vertical,2,DATA_HEADER,
J2,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,BAT,
J3,JST_ZH_B9B-ZR_1x09_P1.50mm_Vertical,1,DATA_CONN,
J4,PinHeader_1x08_P2.54mm_Vertical,1,PWR_HEADER,
L1,L_Coilcraft_XxL4020,1,470n,
L2,L_Coilcraft_XAL4020-XXX,1,1u,
"Q1, Q2, Q3",vendor-onsemi-483av,3,NTLJS7D2P02P8Z,
Q4,SOT-363_SC-70-6,1,Si1539CDL,
"Q5, Q6",SOT-323_SC-70,2,SI2102A,
"R1, R5",0402,2,2,
"R10, R14, R18, R19, R20, R21, R22, R3, R4",0402,9,4.7k,
"R11, R13, R6",0402,3,4.7M,
"R12, R8",0402,2,2.2k,
"R15, R17, R2",0402,3,100k,
"R16, R25, R7",0402,3,1M,
R23,1210,1,0.01,
"R24, R26, R9",0402,3,0,
SW1,TS-A002,1,TS-A002,
TH1,0603,1,10k,
U1,SOT-23-5,1,MIC5219-3.3YM5,
U2,TPS2116,1,TPS2116,
U3,SOT-363_SC-70-6,1,SMFxxCT1G,
U4,SOT-23-6,1,TPS22917DBV,
U5,vendor-ti-DLA0010A,1,TPS63802,
U6,QFN-32-1EP_5x5mm_P0.4mm_EP3x3mm,1,AXP2585,C20199912
