Designator,Mid X,Mid Y,Rotation,Layer
C1,202.32,-58.028,270.0,top
C10,206.092,-84.52,270.0,top
C11,216.485,-50.285,0.0,top
C12,211.952486,-67.772619,0.0,top
C13,211.372486,-68.968619,0.0,top
C14,213.352486,-68.788619,90.0,top
C15,205.092486,-75.305619,180.0,top
C16,205.091486,-73.807619,180.0,top
C17,200.895,-59.983531,180.0,top
C18,204.506143,-72.163506,270.0,top
C19,196.795,-63.963531,270.0,top
C2,202.32,-60.776,90.0,top
C20,195.855,-63.963531,270.0,top
C21,201.994486,-66.260619,180.0,top
C3,202.49575,-91.895,180.0,top
C4,199.90175,-91.905,0.0,top
C5,197.5,-68.378,270.0,top
C6,212.782,-54.23,180.0,top
C7,199.745,-77.065,180.0,top
C8,198.365,-80.955,270.0,top
C9,212.09,-84.198,270.0,top
D1,199.955,-54.85,90.0,top
D2,195.856,-65.8,270.0,top
D3,204.01875,-89.625,90.0,top
D4,201.962,-47.728,90.0,top
D5,214.88,-52.565,90.0,top
D6,200.504,-47.728,90.0,top
F1,208.302,-58.15,180.0,top
FB1,204.38,-59.402,270.0,top
J1,208.28,-48.27,180.0,top
J2_2,219.69,-77.47,0.0,top
J2,197.64,-55.87,90.0,top
J3,207.0,-95.11,180.0,top
J4,195.58,-80.01,0.0,top
J5,218.43,-77.47,0.0,top
L1,209.102,-85.905,180.0,top
L2,209.221486,-73.640619,270.0,top
Q1,197.695,-66.17,90.0,top
Q2,201.735,-54.97,0.0,top
Q3,206.24875,-90.265,270.0,top
Q4,217.785,-52.225,0.0,top
Q5,200.441,-50.518,180.0,top
Q6,200.535,-71.61,180.0,top
R1,196.55,-68.378,90.0,top
R10,218.795,-54.565,270.0,top
R11,201.328,-52.26,0.0,top
R12,199.086,-47.2,90.0,top
R13,202.015,-77.045,180.0,top
R14,214.635,-50.275,180.0,top
R15,206.6,-82.108,270.0,top
R16,208.965,-80.665,0.0,top
R17,207.062,-80.67,180.0,top
R18,218.345,-50.295,0.0,top
R19,217.34,-61.458,270.0,top
R2,212.96,-59.668,180.0,top
R20,218.8,-63.292,90.0,top
R21,216.9,-63.322,90.0,top
R22,217.84,-63.322,90.0,top
R23,199.548238,-62.040511,180.0,top
R25,202.005,-67.215,180.0,top
R26,205.437486,-64.565619,270.0,top
R3,198.465,-68.375,90.0,top
R4,199.98,-56.585,90.0,top
R5,212.782,-55.17,180.0,top
R6,205.89875,-88.53,180.0,top
R7,214.39,-59.202,270.0,top
R8,199.084,-49.078,270.0,top
R9,198.355,-79.075,270.0,top
SW1,216.595,-47.49,0.0,top
TH1,202.564486,-65.040619,0.0,top
U1,201.02575,-89.53,0.0,top
U2,212.603,-57.84,90.0,top
U3,208.238,-55.15,180.0,top
U4,200.885,-79.245,0.0,top
U5,209.055001,-82.803,270.0,top
U6,206.465486,-68.440619,90.0,top
