Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C33",0402,3,2.2u,
"C10, C13, C8",0402,3,1n,
"C11, C32, C40, C41, C42, C43, C44, C48, C49, C54, C6, C7",0402,12,100n,
"C12, C14, C26, C9",0402,4,47n,
"C15, C19, C23, C28",0402,4,100u,
"C16, C17, C18, C20, C21, C22, C36, C38, C39, C45, C51",0603,11,10u,
"C24, C25, C29, C30, C46, C47, C52, C53",0603,8,22u,
"C27, C50, C55",0402,3,10u,
"C3, C37",0402,2,1u,
"C31, C34",0603,2,2.2u,
C35,0402,1,470p,
"C4, C5",0402,2,330n,
"D1, D6",SOT-23,2,TSM24A,
"D2, D3, D5",D_SOD-323,3,BZX384-A10,
D4,0603,1,RED_CHG,
D7,SK6805-EC14,1,SK6805-EC14,
D8,SOT-363_SC-70-6,1,BAT54TW-7-F,
FB1,0805,1,BLM21PG300SN1D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,
J2,PinHeader_1x03_P2.54mm_Vertical,1,BAT_HEADERS,
J3,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,BATT,
J4,PinHeader_1x02_P2.54mm_Vertical,1,VEXT,
J5,PinHeader_1x08_P2.54mm_Vertical,1,PWR_HEADER,
J6,JST_ZH_B9B-ZR_1x09_P1.50mm_Vertical,1,DATA_CONN,
J7,PinHeader_1x11_P2.54mm_Vertical,1,DATA_HEADER,
J8,IDC-Header_2x08_P2.54mm_Vertical,1,HAT,
J9,PinHeader_1x03_P2.54mm_Vertical,1,DEBUG,
L1,L_Coilcraft_XAL4040-XXX,1,1u,
"L2, L3",L_Changjiang_FTC201612S,2,470n,
"Q1, Q7",SOT-363_SC-70-6,2,BSS138PS,
"Q2, Q3, Q4",Diodes-Incorporated_U-DFN2020-6_Type-B,3,DMN3032LFDBQ,
Q5,Diodes-Incorporated_U-DFN2020-6_Type-B,1,SIA931DJ,
Q6,SOT-323_SC-70,1,SI2101A,
"R1, R2, R24, R29",0402,4,2,
"R10, R19, R9",0402,3,5.1k,
"R11, R12, R36",0402,3,220,
R13,0402,1,100,
"R14, R15, R23, R25, R32, R34, R45, R50, R53",0402,9,0,
R16,0402,1,3k,
R17,0402,1,2.2k,
"R18, R26, R31, R33, R35, R42, R43",0402,7,1M,
R20,0402,1,127k,
R21,0402,1,30k,
"R22, R30",0402,2,100k,
"R27, R37, R38, R39, R40, R41",0402,6,4.7k,
R28,1210,1,0.01,
R3,0402,1,3.3k,
R4,0805,1,10M,
"R44, R48, R49",0402,3,10k,
R46,0402,1,806k,
"R47, R52",0402,2,91k,
R5,0805,1,33,
R51,0402,1,511k,
R6,0805,1,1M,
"R7, R8",0402,2,22,
"SW1, SW2",TS-A002,2,TS-A002,
SW3,SW_SPST_TS-1088-xR020,1,TS-A002,
TP1,TestPoint_Pad_1.0x1.0mm,1,~{USBC_FLT},
"TP2, TP3",TestPoint_Pad_1.0x1.0mm,2,SOC_RST_PP,
TP4,TestPoint_Pad_1.0x1.0mm,1,D+,
TP5,TestPoint_Pad_1.0x1.0mm,1,D-,
TP6,TestPoint_Pad_1.0x1.0mm,1,CC1,
TP7,TestPoint_Pad_1.0x1.0mm,1,CC2,
U1,SOT-23,1,TL431DBZ,
"U10, U12",vendor-ti-DLA0010A,2,TPS63802,
"U11, U9",Specific_DFN8_RT9829_RIT,2,RT9829GQW,
U2,vendor-ti-RUK0020B,1,TPD8S300A,
U3,vendor-ti-RQM0029A-MFG,1,BQ25672,
U4,SPECIFIC_MAX17055ETB_21-100013A_T102A2&plus_1C_MXM,1,MAX17055ETB,
U5,SOT-23-6,1,TPS22917DBV,
U6,QFN-28_4x4mm_P0.5mm,1,STM32G071G8U6N,
U7,SOT-353_SC-70-5,1,SN74LV1T125DCK,
U8,X2SON-8_1.4x1mm_P0.35mm,1,TXS0102DQE,
