Designator,Mid X,Mid Y,Rotation,Layer
C1,103.155,-48.955,0.0,top
C10,228.0614,-78.5404,270.0,top
C11,196.4726,-68.3454,0.0,top
C12,235.2442,-71.7362,0.0,top
C14,199.3426,-64.4054,0.0,top
C15,226.546,-65.8928,90.0,top
C16,197.0426,-57.6854,0.0,top
C17,197.0426,-60.1954,0.0,top
C18,201.0526,-52.6654,0.0,top
C19,228.5272,-65.9832,90.0,top
C2,103.155,-50.925,0.0,top
C20,201.0526,-55.1754,0.0,top
C21,201.0526,-57.6854,0.0,top
C22,201.0526,-60.1954,0.0,top
C23,232.737,-67.892,90.0,top
C24,205.0626,-52.6654,0.0,top
C25,205.0626,-55.1754,0.0,top
C27,227.5808,-71.5974,180.0,top
C28,202.2126,-68.3454,0.0,top
C29,205.0626,-57.6854,0.0,top
C3,103.155,-52.895,0.0,top
C30,205.0626,-60.1954,0.0,top
C31,189.0622,-116.4632,270.0,top
C32,199.4874,-116.569,90.0,top
C33,196.905,-118.4078,180.0,top
C34,211.4444,-103.1882,90.0,top
C35,134.455,-29.685,0.0,top
C36,128.105,-29.955,0.0,top
C37,134.455,-31.655,0.0,top
C38,128.105,-32.465,0.0,top
C39,122.095,-35.585,0.0,top
C4,103.155,-54.865,0.0,top
C40,121.525,-31.375,0.0,top
C41,130.445,-41.345,0.0,top
C42,130.445,-43.315,0.0,top
C43,121.525,-33.345,0.0,top
C44,127.135,-70.325,0.0,top
C45,148.245,-77.495,180.0,top
C46,148.21,-83.435,180.0,top
C47,151.235,-83.435,0.0,top
C48,127.135,-72.295,0.0,top
C49,127.135,-74.265,0.0,top
C5,103.155,-56.835,0.0,top
C51,124.635,-56.755,0.0,top
C52,124.635,-59.265,0.0,top
C53,124.635,-61.775,0.0,top
C54,127.135,-78.205,0.0,top
C55,189.9892,-92.6616,0.0,top
C6,103.155,-58.805,0.0,top
C7,196.4726,-62.4354,0.0,top
C8,217.5092,-74.6796,270.0,top
C9,227.5798,-70.6262,180.0,top
D1,107.045,-60.665,180.0,top
D2,218.9894,-74.6178,90.0,top
D3,223.8052,-74.6072,270.0,top
D4,205.6926,-69.9954,0.0,top
D5,213.8364,-101.8488,180.0,top
D6,208.9752,-103.7634,90.0,top
D7,133.58,-42.11,0.0,top
D8,117.965,-32.315,180.0,top
FB1,116.185,-65.125,0.0,top
J1,145.465,-21.005,180.0,top
J2,164.25,-97.755,0.0,top
J3,166.905,-97.805,90.0,top
J4,203.9662,-101.432,0.0,top
J5,89.925,-64.705,0.0,top
J6,83.065,-50.295,0.0,top
J7,94.515,-68.515,0.0,top
J8,78.105,-64.705,0.0,top
J9,83.975,-76.205,0.0,top
L1,231.5188,-64.5088,0.0,top
L2,151.66,-80.265,270.0,top
L3,131.375,-52.98,0.0,top
Q1,118.405,-53.445,180.0,top
Q2,221.410801,-74.9217,0.0,top
Q3,227.196199,-74.9203,180.0,top
Q4,191.307001,-116.6539,180.0,top
Q5,215.537601,-104.4089,0.0,top
Q6,128.425,-38.59,0.0,top
Q7,117.965,-36.165,180.0,top
R1,100.265,-48.965,0.0,top
R11,229.757,-75.7226,0.0,top
R12,229.757,-74.69,0.0,top
R13,208.5226,-56.3854,0.0,top
R14,208.5226,-58.3754,0.0,top
R16,211.4326,-54.3954,0.0,top
R17,211.4326,-56.3854,0.0,top
R18,211.4326,-58.3754,0.0,top
R19,214.3426,-52.4054,0.0,top
R2,100.265,-50.955,0.0,top
R20,214.3426,-54.3954,0.0,top
R21,214.3426,-56.3854,0.0,top
R22,214.3426,-58.3754,0.0,top
R23,191.7782,-113.6376,180.0,top
R24,188.7874,-113.987,270.0,top
R25,187.6748,-113.978,270.0,top
R27,191.7872,-114.6674,0.0,top
R28,194.3984,-115.6502,90.0,top
R29,213.1364,-105.222,180.0,top
R3,100.265,-52.945,0.0,top
R30,212.7186,-103.7386,90.0,top
R32,131.565,-31.685,0.0,top
R34,114.385,-25.075,0.0,top
R35,127.555,-41.355,0.0,top
R36,127.555,-43.345,0.0,top
R37,114.385,-27.065,0.0,top
R38,114.385,-29.055,0.0,top
R39,114.385,-31.045,0.0,top
R4,111.705,-59.915,0.0,top
R40,114.385,-33.035,0.0,top
R41,114.385,-35.025,0.0,top
R42,114.385,-37.015,0.0,top
R43,114.385,-39.005,0.0,top
R44,130.205,-80.185,0.0,top
R45,145.625,-82.805,0.0,top
R46,146.235,-81.285,270.0,top
R47,145.175,-81.285,270.0,top
R48,130.205,-82.175,0.0,top
R5,111.705,-62.865,0.0,top
R50,128.095,-54.935,0.0,top
R51,128.095,-56.925,0.0,top
R52,128.095,-58.915,0.0,top
R6,111.705,-65.815,0.0,top
R7,100.265,-54.935,0.0,top
R8,100.265,-56.925,0.0,top
SW1,121.765,-72.095,0.0,top
SW2,121.765,-77.605,0.0,top
SW3,121.785,-82.635,0.0,top
U1,107.045,-65.115,180.0,top
U10,148.53,-80.269999,0.0,top
U11,131.157626,-74.9929,0.0,top
U12,135.350001,-56.999999,0.0,top
U2,145.58,-29.505,0.0,top
U3,231.5122,-71.3342,0.0,top
U4,197.5723,-115.6418,270.0,top
U5,128.675,-26.48,180.0,top
U6,119.37,-27.235,90.0,top
U7,133.075,-38.54,180.0,top
U8,121.6,-38.315,0.0,top
U9,131.157626,-71.2243,0.0,top
